CV-PS-001;Consolas y Videojuegos;PlayStation;PSP Slim;La PlayStation Portable o PSP es una videoconsola portátil de la multinacional de origen Japonés, Sony Computer Entertainment, para videojuegos y multimedia. Se trata de la primera consola portátil a nivel mundial de Sony y la segunda lanzada en Japón;49.95;5;1
CV-PS-002;Consolas y Videojuegos;PlayStation;PlayStation 4;Vive épicas aventuras, lucha contra los mejores jugadores online y desafía a tus amigos en tu propio salón con la nueva y ligera PS4. Una consola más fina y ligera con un estilizado nuevo diseño que encierra una potente PlayStation 4 en su interior. Es un 30% más delgada y un 16% más ligera que su antecesora. Pero que no te engañe su compacto diseño, su interior alberga un disco duro de 500 GB de capacidad;295;28;4
CV-PS-003;Consolas y Videojuegos;PlayStation;Pack PS4 LEGO Star Wars;Mucho más que una consola, la PlayStation 4 desarrollada por Sony es un dispositivo inteligente y versátil a través del cual descubrirás un mundo de entretenimiento que romperá con todas tus expectativas. La Fuerza está en este super pack que incluye: Juego PS4 LEGO Star Wars: El Despertar de la Fuerza, Película Star Wars: El Despertar de la Fuerza en formato Blu-Ray y la consola PlayStation 4 1TB;305;30;2
CV-XB-001;Consolas y Videojuegos;Xbox;Xbox 360;Consola de 500 GB que te aportará una experiencia de juego y entretenimiento total a través de la mayor biblioteca de juegos. Además, toda la familia podrá ver películas en HD, series, acontecimientos en directo, música, deportes y más;105;10;15
CV-XB-002;Consolas y Videojuegos;Xbox;Xbox One;Disfruta del mejor catálogo de juegos en la Historia de Xbox, con exclusivas como Halo 5: Guardians, Gears of War: Ultimate Edition y Forza Motorsport 6. Juega con amigos en Xbox Live y disfruta de tus juegos de Xbox 360, tanto digitales como en disco, en Xbox One;299;30;20
CV-WI-001;Consolas y Videojuegos;Wii;Wii U 32 Gb;Wii U es una nueva consola de sobremesa de Nintendo que redefine la relación entre tu televisor y tú, y como te conectas con tus amigos y familiares. Es una potente máquina de alta definición con un sorprendente nuevo mando que redefine los videojuegos en compañía: el Wii U GamePad;301.90;31;5
CV-WI-002;Consolas y Videojuegos;Wii;Wii U Splatoon;Una nueva clase de batalla comienza con Splatoon, para Wii U. Enfréntate a jugadores de todo el mundo en emocionantes encuentros multijugador de 4 contra 4. ¡La victoria dependerá del trabajo en equipo y de una buena táctica!;325;32;4
CV-DS-001;Consolas y Videojuegos;DS;Nintendo DSi;Descubre las ventajas de las nuevas aplicaciones como la Cámara Nintendo DSi y el Nintendo DSi Sound, que te permitirán divertirte con tus fotografías preferidas y tener tus canciones y podcasts a tu disposición allí donde vayas;55.90;6;10
CV-DS-002;Consolas y Videojuegos;DS;Nintendo 2Ds;Pásalo en grande con el pack de consola Nintendo 2DS azul. La 2DS es todo un acierto, ya que tiene un extenso catálogo de juegos Nintendo. Pasa infinitas horas con las mejores sagas de Mario, El Profesor Layton, Style Boutique, entre otros. Lo mejor de todo es que la retrocompatibilidad de tu nueva consola Nintendo 2DS te permite jugar a todos los juegos de Nintendo 3DS y DS en modo 2D;99;10;8
CV-OT-001;Consolas y Videojuegos;Otras;Atari 2600;La Atari 2600 es una videoconsola lanzada al mercado el 11 de septiembre de 1977 bajo el nombre de Atari VCS (Video Computer System), convirtiéndose en la primera en tener éxito y la tercera que utilizaba cartuchos intercambiables. En 1982, tras el lanzamiento de la Atari 5200, adoptó su nombre final basado en el número de catálogo que la identificaba (CX2600). Esta consola fue un gran éxito y logró que durante los años 1980 "Atari" fuese sinónimo de videojuegos. Se vende acompañada de 2 joysticks, 2 controles tipo paddle y el juego Combat;79;7;13
